name,liquidityRate,variableBorrowRate,stableBorrowRate,PC1,PC2,PC3
Tether USD,0.0,0.0,0.016742485419953157,-0.8040509084800366,0.14276158119069543,-0.05656517523926574
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089,0.46077841660191426,0.08541337507325591,-0.03303103849594649
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709,-0.594087021213266,-0.12341710007683931,-0.008242952846430061
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002,0.8985784390292305,-0.11768466522817246,-0.05251576730467847
USD Coin,0.0072806450566264376,0.2809594067572332,0.0,-0.6788398118189418,-0.08037081401714276,0.06093215382651995
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699,0.6037498564983409,0.08917783237696618,0.08912609109107016
Tether USD,0.0,0.0,0.016742485419953157,-0.8040509084800366,0.14276158119069543,-0.05656517523926574
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089,0.46077841660191426,0.08541337507325591,-0.03303103849594649
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709,-0.594087021213266,-0.12341710007683931,-0.008242952846430061
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002,0.8985784390292305,-0.11768466522817246,-0.05251576730467847
USD Coin,0.0072806450566264376,0.2809594067572332,0.0,-0.6788398118189418,-0.08037081401714276,0.06093215382651995
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699,0.6037498564983409,0.08917783237696618,0.08912609109107016
Tether USD,0.0,0.0,0.016742485419953157,-0.8040509084800366,0.14276158119069543,-0.05656517523926574
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089,0.46077841660191426,0.08541337507325591,-0.03303103849594649
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709,-0.594087021213266,-0.12341710007683931,-0.008242952846430061
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002,0.8985784390292305,-0.11768466522817246,-0.05251576730467847
USD Coin,0.0072806450566264376,0.2809594067572332,0.0,-0.6788398118189418,-0.08037081401714276,0.06093215382651995
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699,0.6037498564983409,0.08917783237696618,0.08912609109107016
Tether USD,0.0,0.0,0.016742485419953157,-0.8040509084800366,0.14276158119069543,-0.05656517523926574
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089,0.46077841660191426,0.08541337507325591,-0.03303103849594649
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709,-0.594087021213266,-0.12341710007683931,-0.008242952846430061
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002,0.8985784390292305,-0.11768466522817246,-0.05251576730467847
USD Coin,0.0072806450566264376,0.2809594067572332,0.0,-0.6788398118189418,-0.08037081401714276,0.06093215382651995
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699,0.6037498564983409,0.08917783237696618,0.08912609109107016
Tether USD,0.0,0.0,0.016742485419953157,-0.8040509084800366,0.14276158119069543,-0.05656517523926574
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089,0.46077841660191426,0.08541337507325591,-0.03303103849594649
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709,-0.594087021213266,-0.12341710007683931,-0.008242952846430061
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002,0.8985784390292305,-0.11768466522817246,-0.05251576730467847
USD Coin,0.0072806450566264376,0.2809594067572332,0.0,-0.6788398118189418,-0.08037081401714276,0.06093215382651995
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699,0.6037498564983409,0.08917783237696618,0.08912609109107016
Tether USD,0.0,0.0,0.016742485419953157,-0.8040509084800366,0.14276158119069543,-0.05656517523926574
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089,0.46077841660191426,0.08541337507325591,-0.03303103849594649
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709,-0.594087021213266,-0.12341710007683931,-0.008242952846430061
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002,0.8985784390292305,-0.11768466522817246,-0.05251576730467847
USD Coin,0.0072806450566264376,0.2809594067572332,0.0,-0.6788398118189418,-0.08037081401714276,0.06093215382651995
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699,0.6037498564983409,0.08917783237696618,0.08912609109107016
Tether USD,0.0,0.0,0.016742485419953157,-0.8040509084800366,0.14276158119069543,-0.05656517523926574
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089,0.46077841660191426,0.08541337507325591,-0.03303103849594649
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709,-0.594087021213266,-0.12341710007683931,-0.008242952846430061
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002,0.8985784390292305,-0.11768466522817246,-0.05251576730467847
USD Coin,0.0072806450566264376,0.2809594067572332,0.0,-0.6788398118189418,-0.08037081401714276,0.06093215382651995
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699,0.6037498564983409,0.08917783237696618,0.08912609109107016
Tether USD,0.0,0.0,0.016742485419953157,-0.8040509084800366,0.14276158119069543,-0.05656517523926574
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089,0.46077841660191426,0.08541337507325591,-0.03303103849594649
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709,-0.594087021213266,-0.12341710007683931,-0.008242952846430061
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002,0.8985784390292305,-0.11768466522817246,-0.05251576730467847
USD Coin,0.0072806450566264376,0.2809594067572332,0.0,-0.6788398118189418,-0.08037081401714276,0.06093215382651995
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699,0.6037498564983409,0.08917783237696618,0.08912609109107016
Tether USD,0.0,0.0,0.016742485419953157,-0.8040509084800366,0.14276158119069543,-0.05656517523926574
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089,0.46077841660191426,0.08541337507325591,-0.03303103849594649
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709,-0.594087021213266,-0.12341710007683931,-0.008242952846430061
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002,0.8985784390292305,-0.11768466522817246,-0.05251576730467847
USD Coin,0.0072806450566264376,0.2809594067572332,0.0,-0.6788398118189418,-0.08037081401714276,0.06093215382651995
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699,0.6037498564983409,0.08917783237696618,0.08912609109107016
Tether USD,0.0,0.0,0.016742485419953157,-0.8040509084800366,0.14276158119069543,-0.05656517523926574
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089,0.46077841660191426,0.08541337507325591,-0.03303103849594649
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709,-0.594087021213266,-0.12341710007683931,-0.008242952846430061
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002,0.8985784390292305,-0.11768466522817246,-0.05251576730467847
USD Coin,0.0072806450566264376,0.2809594067572332,0.0,-0.6788398118189418,-0.08037081401714276,0.06093215382651995
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699,0.6037498564983409,0.08917783237696618,0.08912609109107016
Tether USD,0.0,0.0,0.016742485419953157,-0.8040509084800366,0.14276158119069543,-0.05656517523926574
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089,0.46077841660191426,0.08541337507325591,-0.03303103849594649
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709,-0.594087021213266,-0.12341710007683931,-0.008242952846430061
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002,0.8985784390292305,-0.11768466522817246,-0.05251576730467847
USD Coin,0.0072806450566264376,0.2809594067572332,0.0,-0.6788398118189418,-0.08037081401714276,0.06093215382651995
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699,0.6037498564983409,0.08917783237696618,0.08912609109107016
Tether USD,0.0,0.0,0.016742485419953157,-0.8040509084800366,0.14276158119069543,-0.05656517523926574
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089,0.46077841660191426,0.08541337507325591,-0.03303103849594649
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709,-0.594087021213266,-0.12341710007683931,-0.008242952846430061
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002,0.8985784390292305,-0.11768466522817246,-0.05251576730467847
USD Coin,0.0072806450566264376,0.2809594067572332,0.0,-0.6788398118189418,-0.08037081401714276,0.06093215382651995
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699,0.6037498564983409,0.08917783237696618,0.08912609109107016
Tether USD,0.0,0.0,0.016742485419953157,-0.8040509084800366,0.14276158119069543,-0.05656517523926574
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089,0.46077841660191426,0.08541337507325591,-0.03303103849594649
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709,-0.594087021213266,-0.12341710007683931,-0.008242952846430061
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002,0.8985784390292305,-0.11768466522817246,-0.05251576730467847
USD Coin,0.0072806450566264376,0.2809594067572332,0.0,-0.6788398118189418,-0.08037081401714276,0.06093215382651995
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699,0.6037498564983409,0.08917783237696618,0.08912609109107016
Tether USD,0.0,0.0,0.016742485419953157,-0.8040509084800366,0.14276158119069543,-0.05656517523926574
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089,0.46077841660191426,0.08541337507325591,-0.03303103849594649
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709,-0.594087021213266,-0.12341710007683931,-0.008242952846430061
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002,0.8985784390292305,-0.11768466522817246,-0.05251576730467847
USD Coin,0.0072806450566264376,0.2809594067572332,0.0,-0.6788398118189418,-0.08037081401714276,0.06093215382651995
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699,0.6037498564983409,0.08917783237696618,0.08912609109107016
Tether USD,0.0,0.0,0.016742485419953157,-0.8040509084800366,0.14276158119069543,-0.05656517523926574
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089,0.46077841660191426,0.08541337507325591,-0.03303103849594649
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709,-0.594087021213266,-0.12341710007683931,-0.008242952846430061
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002,0.8985784390292305,-0.11768466522817246,-0.05251576730467847
USD Coin,0.0072806450566264376,0.2809594067572332,0.0,-0.6788398118189418,-0.08037081401714276,0.06093215382651995
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699,0.6037498564983409,0.08917783237696618,0.08912609109107016
Tether USD,0.0,0.0,0.016742485419953157,-0.8040509084800366,0.14276158119069543,-0.05656517523926574
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089,0.46077841660191426,0.08541337507325591,-0.03303103849594649
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709,-0.594087021213266,-0.12341710007683931,-0.008242952846430061
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002,0.8985784390292305,-0.11768466522817246,-0.05251576730467847
USD Coin,0.0072806450566264376,0.2809594067572332,0.0,-0.6788398118189418,-0.08037081401714276,0.06093215382651995
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699,0.6037498564983409,0.08917783237696618,0.08912609109107016
Tether USD,0.0,0.0,0.016742485419953157,-0.8040509084800366,0.14276158119069543,-0.05656517523926574
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089,0.46077841660191426,0.08541337507325591,-0.03303103849594649
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709,-0.594087021213266,-0.12341710007683931,-0.008242952846430061
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002,0.8985784390292305,-0.11768466522817246,-0.05251576730467847
USD Coin,0.0072806450566264376,0.2809594067572332,0.0,-0.6788398118189418,-0.08037081401714276,0.06093215382651995
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699,0.6037498564983409,0.08917783237696618,0.08912609109107016
Tether USD,0.0,0.0,0.016742485419953157,-0.8040509084800366,0.14276158119069543,-0.05656517523926574
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089,0.46077841660191426,0.08541337507325591,-0.03303103849594649
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709,-0.594087021213266,-0.12341710007683931,-0.008242952846430061
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002,0.8985784390292305,-0.11768466522817246,-0.05251576730467847
USD Coin,0.0072806450566264376,0.2809594067572332,0.0,-0.6788398118189418,-0.08037081401714276,0.06093215382651995
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699,0.6037498564983409,0.08917783237696618,0.08912609109107016
Tether USD,0.0,0.0,0.016742485419953157,-0.8040509084800366,0.14276158119069543,-0.05656517523926574
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089,0.46077841660191426,0.08541337507325591,-0.03303103849594649
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709,-0.594087021213266,-0.12341710007683931,-0.008242952846430061
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002,0.8985784390292305,-0.11768466522817246,-0.05251576730467847
USD Coin,0.0072806450566264376,0.2809594067572332,0.0,-0.6788398118189418,-0.08037081401714276,0.06093215382651995
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699,0.6037498564983409,0.08917783237696618,0.08912609109107016
Tether USD,0.0,0.0,0.016742485419953157,-0.8040509084800366,0.14276158119069543,-0.05656517523926574
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089,0.46077841660191426,0.08541337507325591,-0.03303103849594649
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709,-0.594087021213266,-0.12341710007683931,-0.008242952846430061
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002,0.8985784390292305,-0.11768466522817246,-0.05251576730467847
USD Coin,0.0072806450566264376,0.2809594067572332,0.0,-0.6788398118189418,-0.08037081401714276,0.06093215382651995
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699,0.6037498564983409,0.08917783237696618,0.08912609109107016
Tether USD,0.0,0.0,0.016742485419953157,-0.8040509084800366,0.14276158119069543,-0.05656517523926574
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089,0.46077841660191426,0.08541337507325591,-0.03303103849594649
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709,-0.594087021213266,-0.12341710007683931,-0.008242952846430061
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002,0.8985784390292305,-0.11768466522817246,-0.05251576730467847
USD Coin,0.0072806450566264376,0.2809594067572332,0.0,-0.6788398118189418,-0.08037081401714276,0.06093215382651995
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699,0.6037498564983409,0.08917783237696618,0.08912609109107016
Tether USD,0.0,0.0,0.016742485419953157,-0.8040509084800366,0.14276158119069543,-0.05656517523926574
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089,0.46077841660191426,0.08541337507325591,-0.03303103849594649
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709,-0.594087021213266,-0.12341710007683931,-0.008242952846430061
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002,0.8985784390292305,-0.11768466522817246,-0.05251576730467847
USD Coin,0.0072806450566264376,0.2809594067572332,0.0,-0.6788398118189418,-0.08037081401714276,0.06093215382651995
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699,0.6037498564983409,0.08917783237696618,0.08912609109107016
Tether USD,0.0,0.0,0.016742485419953157,-0.8040509084800366,0.14276158119069543,-0.05656517523926574
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089,0.46077841660191426,0.08541337507325591,-0.03303103849594649
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709,-0.594087021213266,-0.12341710007683931,-0.008242952846430061
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002,0.8985784390292305,-0.11768466522817246,-0.05251576730467847
USD Coin,0.0072806450566264376,0.2809594067572332,0.0,-0.6788398118189418,-0.08037081401714276,0.06093215382651995
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699,0.6037498564983409,0.08917783237696618,0.08912609109107016
Tether USD,0.0,0.0,0.016742485419953157,-0.8040509084800366,0.14276158119069543,-0.05656517523926574
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089,0.46077841660191426,0.08541337507325591,-0.03303103849594649
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709,-0.594087021213266,-0.12341710007683931,-0.008242952846430061
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002,0.8985784390292305,-0.11768466522817246,-0.05251576730467847
USD Coin,0.0072806450566264376,0.2809594067572332,0.0,-0.6788398118189418,-0.08037081401714276,0.06093215382651995
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699,0.6037498564983409,0.08917783237696618,0.08912609109107016
Tether USD,0.0,0.0,0.016742485419953157,-0.8040509084800366,0.14276158119069543,-0.05656517523926574
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089,0.46077841660191426,0.08541337507325591,-0.03303103849594649
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709,-0.594087021213266,-0.12341710007683931,-0.008242952846430061
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002,0.8985784390292305,-0.11768466522817246,-0.05251576730467847
USD Coin,0.0072806450566264376,0.2809594067572332,0.0,-0.6788398118189418,-0.08037081401714276,0.06093215382651995
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699,0.6037498564983409,0.08917783237696618,0.08912609109107016
Tether USD,0.0,0.0,0.016742485419953157,-0.8040509084800366,0.14276158119069543,-0.05656517523926574
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089,0.46077841660191426,0.08541337507325591,-0.03303103849594649
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709,-0.594087021213266,-0.12341710007683931,-0.008242952846430061
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002,0.8985784390292305,-0.11768466522817246,-0.05251576730467847
USD Coin,0.0072806450566264376,0.2809594067572332,0.0,-0.6788398118189418,-0.08037081401714276,0.06093215382651995
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699,0.6037498564983409,0.08917783237696618,0.08912609109107016
Tether USD,0.0,0.0,0.016742485419953157,-0.8040509084800366,0.14276158119069543,-0.05656517523926574
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089,0.46077841660191426,0.08541337507325591,-0.03303103849594649
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709,-0.594087021213266,-0.12341710007683931,-0.008242952846430061
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002,0.8985784390292305,-0.11768466522817246,-0.05251576730467847
USD Coin,0.0072806450566264376,0.2809594067572332,0.0,-0.6788398118189418,-0.08037081401714276,0.06093215382651995
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699,0.6037498564983409,0.08917783237696618,0.08912609109107016
Tether USD,0.0,0.0,0.016742485419953157,-0.8040509084800366,0.14276158119069543,-0.05656517523926574
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089,0.46077841660191426,0.08541337507325591,-0.03303103849594649
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709,-0.594087021213266,-0.12341710007683931,-0.008242952846430061
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002,0.8985784390292305,-0.11768466522817246,-0.05251576730467847
USD Coin,0.0072806450566264376,0.2809594067572332,0.0,-0.6788398118189418,-0.08037081401714276,0.06093215382651995
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699,0.6037498564983409,0.08917783237696618,0.08912609109107016
Tether USD,0.0,0.0,0.016742485419953157,-0.8040509084800366,0.14276158119069543,-0.05656517523926574
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089,0.46077841660191426,0.08541337507325591,-0.03303103849594649
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709,-0.594087021213266,-0.12341710007683931,-0.008242952846430061
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002,0.8985784390292305,-0.11768466522817246,-0.05251576730467847
USD Coin,0.0072806450566264376,0.2809594067572332,0.0,-0.6788398118189418,-0.08037081401714276,0.06093215382651995
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699,0.6037498564983409,0.08917783237696618,0.08912609109107016
Tether USD,0.0,0.0,0.016742485419953157,-0.8040509084800366,0.14276158119069543,-0.05656517523926574
Tether USD,0.8315715727686056,0.6397712886591318,0.725838608308089,0.46077841660191426,0.08541337507325591,-0.03303103849594649
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709,-0.594087021213266,-0.12341710007683931,-0.008242952846430061
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002,0.8985784390292305,-0.11768466522817246,-0.05251576730467847
USD Coin,0.0072806450566264376,0.2809594067572332,0.0,-0.6788398118189418,-0.08037081401714276,0.06093215382651995
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699,0.6037498564983409,0.08917783237696618,0.08912609109107016
Tether USD,0.0,0.0,0.016742485419953157,-0.8040509084800366,0.14276158119069543,-0.05656517523926574
Tether USD,0.8214533048363589,0.6170205530039727,0.7085235716303739,0.4334792039793178,0.09854327443223669,-0.03156661131797599
Dai Stablecoin,0.008244920491242619,0.33032040130778806,0.10669477977887709,-0.594087021213266,-0.12341710007683931,-0.008242952846430061
Dai Stablecoin,1.0,0.9999999999999998,1.0000000000000002,0.8985784390292305,-0.11768466522817246,-0.05251576730467847
USD Coin,0.0072806450566264376,0.2809594067572332,0.0,-0.6788398118189418,-0.08037081401714276,0.06093215382651995
USD Coin,0.9853849815207932,0.7465294792658084,0.7079084075225699,0.6037498564983409,0.08917783237696618,0.08912609109107016
Tether USD,0.0,0.0,0.016742485419953157,-0.8040509084800366,0.14276158119069546,-0.05656517523926576
